2019-04-08 12:23:48,846 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:25:28,692 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:25:28,692 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:26:18,967 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:26:18,967 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:26:18,967 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:31:37,954 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:31:37,954 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:31:37,954 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:31:37,954 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:31:37,954 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:37:06,019 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:37:06,019 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:37:06,019 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:37:06,019 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:37:06,019 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:37:06,019 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:44:36,455 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:44:36,455 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:44:36,455 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:44:36,455 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:44:36,455 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:44:36,455 - STARTING APP, TRY IT OUT!!!
2019-04-08 12:44:36,455 - STARTING APP, TRY IT OUT!!!
2019-04-08 14:57:32,928 - STARTING APP, TRY IT OUT!!!
2019-04-08 15:02:10,347 - STARTING APP, TRY IT OUT!!!
2019-04-08 15:02:10,347 - STARTING APP, TRY IT OUT!!!
2019-04-08 15:02:10,925 - STARTING APP, TRY IT OUT!!!
